Rank,Brand,Product Category,Points,,
1,Vodafone,Telecoms & Utilities,195.8,,
2,Ariel,Household & Domestic,164.2,,
3,John Lewis,Retail,163.4,,
4,IKEA,Retail,151.8,,
5,Dove,Toiletries & Cosmetics,145.8,,
6,MasterCard,Financial Services,122.6,,
7,Coca-Cola,Soft Drinks,116.6,,
8,McDonald’s,Retail,110.5,,
9,Snickers,Food,109.4,,
10,Heineken,Alcoholic Drinks,100.0,,
11,Double Robotics,Technology & Electronics,95.0,,
12,Volvo,Automotive,91.2,,
13,Volkswagen,Automotive,90.7,,
14,Mercedes-Benz,Automotive,88.7,,
15,KFC,Retail,88.4,,
16,REI,Retail,86.7,,
17,Pepsi,Soft Drinks,86.2,,
18,Media Markt,Retail,84.2,,
19,"Economist, The",Media & Publishing,79.5,,
20,truth®,"Non-profit, public sector & education",76.4,,
21,Lidl,Retail,72.6,,
22,Visa,Financial Services,71.6,,
23,Always,Toiletries & Cosmetics,69.6,,
24,Narellan Pools,Retail,64.5,,
25,Apple,Technology & Electronics,64.2,,
26,Kraft Foods,Food,61.9,,
27,New Zealand Transport Agency,"Non-profit, public sector & education",61.6,,
28,Sainsbury's,Retail,59.9,,
29,Maxis,Telecoms & Utilities,59.1,,
30,Pedigree,Household & Domestic,58.6,,
31,Burger King,Retail,58.2,,
32,Microsoft,Leisure & Entertainment,56.8,,
33,Nike,Clothing & Accessories,56.7,,
34,Toyota,Automotive,55.6,,
35,Maggi,Food,55.0,,
35,Google,Business & Industrial,55.0,,
37,Oreo,Food,54.8,,
38,Samsung Galaxy,Technology & Electronics,53.5,,
39,ANZ,Financial Services,53.4,,
40,L'Oréal,Toiletries & Cosmetics,52.9,,
41,Huawei,Technology & Electronics,51.8,,
42,SPC,Business & Industrial,51.7,,
43,Taco Bell,Retail,51.2,,
44,Macmillan Cancer Support,"Non-profit, public sector & education",50.6,,
45,BMW,Automotive,50.4,,
46,Tigerair,Transport & Tourism,49.6,,
46,Walmart,Retail,49.6,,
48,Western Union,Financial Services,49.4,,
49,Old Spice,Toiletries & Cosmetics,48.6,,
50,Ford,Automotive,48.2,,
51,Gatorade,Soft Drinks,47.8,,
52,Direct Line,Financial Services,47.7,,
53,Sensodyne,Toiletries & Cosmetics,47.4,,
54,Carlsberg,Alcoholic Drinks,45.7,,
55,Telekom,Telecoms & Utilities,45.1,,
56,Make Love Not Scars,"Non-profit, public sector & education",44.7,,
57,UPS,Telecoms & Utilities,44.6,,
57,Target,Retail,44.6,,
59,Lifebuoy,Toiletries & Cosmetics,43.7,,
60,Pepsi Max,Soft Drinks,43.4,,
61,Amnesty International,"Non-profit, public sector & education",43.2,,
62,EA Madden NFL ’15,Leisure & Entertainment,41.0,,
63,Akanksha Foundation,"Non-profit, public sector & education",40.8,,
64,Guinness,Alcoholic Drinks,40.4,,
65,Whirlpool,Household & Domestic,39.9,,
66,Xfinity,Telecoms & Utilities,39.8,,
66,New York Lottery,Leisure & Entertainment,39.8,,
68,WWF,"Non-profit, public sector & education",39.6,,
68,Three,Telecoms & Utilities,39.6,,
70,Fuji Xerox,Business & Industrial,38.9,,
71,Bonds,Retail,37.9,,
72,CVS Health,Pharma & Healthcare,37.2,,
73,Big Heart Pet Brands,Household & Domestic,37.1,,
74,Movistar,Telecoms & Utilities,36.7,,
75,Aldi,Retail,36.6,,
76,DB Export,Alcoholic Drinks,36.0,,
76,Sting,Soft Drinks,36.0,,
78,Chevrolet,Automotive,35.6,,
79,Anchor,Soft Drinks,35.3,,
80,EDEKA,Retail,34.8,,
81,O2,Telecoms & Utilities,34.4,,
82,Subaru,Automotive,34.3,,
83,JCPenney,Retail,34.2,,
84,Kimberly-Clark,Pharma & Healthcare,33.9,,
84,Entel,Telecoms & Utilities,33.9,,
86,Nissan,Automotive,33.7,,
87,Tim Hortons,Retail,33.6,,
88,KitKat,Food,33.2,,
88,Knorr,Food,33.2,,
90,Aetna,Pharma & Healthcare,32.9,,
91,The Tillamook Co-op,Food,32.8,,
92,NHS Blood and Transplant,"Non-profit, public sector & education",32.1,,
93,Land Rover,Automotive,31.4,,
94,Hornbach,Retail,31.3,,
95,LEGO,Leisure & Entertainment,31.2,,
96,Febreze,Household & Domestic,31.1,,
97,Mr. Sketch,Household & Domestic,31.0,,
97,Allstate Insurance Company,Financial Services,31.0,,
97,Mollie’s Fund,"Non-profit, public sector & education",31.0,,
100,Mark's,Retail,30.4,,
101,ActionAid,"Non-profit, public sector & education",30.3,,
102,Scoot,Transport & Tourism,30.2,,
103,Moms Demand Action for Gun Sense in America,"Non-profit, public sector & education",29.7,,
104,Uni Noodle,Food,29.5,,
105,New Zealand Breast Cancer Foundation,"Non-profit, public sector & education",28.7,,
105,Art Fund,"Non-profit, public sector & education",28.7,,
105,Save the Children,"Non-profit, public sector & education",28.7,,
105,Stoptober,"Non-profit, public sector & education",28.7,,
109,Ontario Women’s Directorate,"Non-profit, public sector & education",28.5,,
110,Audi,Automotive,28.4,,
111,Garnier,Toiletries & Cosmetics,28.1,,
111,Arby’s,Retail,28.1,,
111,Amazon,Media & Publishing,28.1,,
114,Procter & Gamble,Toiletries & Cosmetics,28.0,,
114,Hindustan Unilever,Household & Domestic,28.0,,
116,Meetic,Media & Publishing,27.8,,
117,Gillette,Toiletries & Cosmetics,27.3,,
118,Sour Patch Kids,Food,27.2,,
118,Alcon,Pharma & Healthcare,27.2,,
120,Under Armour,Clothing & Accessories,27.1,,
121,AIA,Financial Services,27.0,,
122,Lean Cuisine,Food,26.9,,
123,Turkcell,Telecoms & Utilities,26.5,,
124,Hailo,Business & Industrial,26.4,,
124,Halifax,Financial Services,26.4,,
124,House of Cards,Leisure & Entertainment,26.4,,
124,BT Sport,Media & Publishing,26.4,,
128,Johnson & Johnson,Toiletries & Cosmetics,26.2,,
129,Lexus,Automotive,26.1,,
130,Kasperle,Retail,26.0,,
130,National Institute for Blood,"Non-profit, public sector & education",26.0,,
132,The Clinton Foundation,"Non-profit, public sector & education",25.7,,
133,Epiphone,Retail,25.6,,
133,EXIT-Deutschland,"Non-profit, public sector & education",25.6,,
133,Ad Council,"Non-profit, public sector & education",25.6,,
136,Head & Shoulders,Toiletries & Cosmetics,25.5,,
137,Sixt,Transport & Tourism,25.4,,
138,Tencent,Leisure & Entertainment,25.3,,
139,Destination Canada,Transport & Tourism,25.1,,
140,Kenco,Soft Drinks,24.9,,
141,Asociación Defensora de Animales,"Non-profit, public sector & education",24.8,,
141,Gerber,Food,24.8,,
141,United Nations OCHA,"Non-profit, public sector & education",24.8,,
141,Domino's Pizza,Retail,24.8,,
145,Valspar,Household & Domestic,24.7,,
145,WestJet Airlines,Transport & Tourism,24.7,,
147,Alipay,Financial Services,24.4,,
147,Renault,Automotive,24.4,,
149,Verizon Wireless,Telecoms & Utilities,24.3,,
149,Jacobs Monarch,Soft Drinks,24.3,,
149,Kotex,Pharma & Healthcare,24.3,,
149,Mike's Hard Lemonade,Soft Drinks,24.3,,
149,Plataforma de Afectados por la Hipoteca (PAH),"Non-profit, public sector & education",24.3,,
149,Ostashkov Department of Housing,"Non-profit, public sector & education",24.3,,
149,Mentos,Food,24.3,,
149,TD Canada Trust,Financial Services,24.3,,
149,Countdown,Retail,24.3,,
158,Fiat,Automotive,24.1,,
159,Spies,Transport & Tourism,24.0,,
159,Lacta,Food,24.0,,
161,Mars,Food,23.9,,
162,Samsung,Technology & Electronics,23.8,,
163,Nivea,Toiletries & Cosmetics,23.5,,
164,IBM,Business & Industrial,23.3,,
165,Fanta,Soft Drinks,23.1,,
165,Opel,Automotive,23.1,,
167,T-Mobile,Telecoms & Utilities,22.9,,
168,Promote Iceland,Transport & Tourism,22.7,,
169,Ministry of National Education,"Non-profit, public sector & education",22.5,,
170,Airbnb,Transport & Tourism,22.1,,
171,Clight,Soft Drinks,22.0,,
172,UNACEM,Business & Industrial,21.8,,
172,Rip Curl,Clothing & Accessories,21.8,,
172,SmartLife,"Non-profit, public sector & education",21.8,,
175,Comfort,Household & Domestic,21.6,,
175,FarEasTone,Telecoms & Utilities,21.6,,
175,Philippines Department of Tourism,Transport & Tourism,21.6,,
178,Boeing,Business & Industrial,21.3,,
178,Legoland Florida Resort,Transport & Tourism,21.3,,
