Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
1,AlmapBBDO,Sao Paulo,Creative Agency,Brazil,,"Automotive, Business & Industrial, Clothing & Accessories, Financial Services, Household & Domestic, Leisure & Entertainment, Media & Publishing, Technology & Electronics",786.4
2,BBDO,New York,Creative Agency,USA,,"Alcoholic Drinks, Business & Industrial, Financial Services, Food, Household & Domestic, Non-profit, public sector & education, Retail, Telecoms & Utilities",688.3
3,Dentsu,Tokyo,Creative Agency,Japan,,"Alcoholic Drinks, Automotive, Business & Industrial, Food, Leisure & Entertainment, Media & Publishing, Non-profit, public sector & education, Retail, Technology & Electronics, Telecoms & Utilities, Transport & Tourism",651.1
4,adam&eveDDB,London,Creative Agency,UK,,"Automotive, Food, Non-profit, public sector & education, Retail",615.8
5,McCann,New York,Creative Agency,USA,,"Business & Industrial, Financial Services, Household & Domestic, Media & Publishing, Non-profit, public sector & education, Pharma & Healthcare, Technology & Electronics, Telecoms & Utilities",605.9
6,Wieden+Kennedy,Portland,Creative Agency,USA,X,"Clothing & Accessories, Non-profit, public sector & education, Soft Drinks, Technology & Electronics, Toiletries & Cosmetics, Transport & Tourism",603.5
7,Clemenger BBDO,Melbourne,Creative Agency,Australia,,"Clothing & Accessories, Food, Non-profit, public sector & education, Retail",603.1
8,BETC,Paris,Creative Agency,France,,"Clothing & Accessories, Media & Publishing, Non-profit, public sector & education, Retail, Soft Drinks, Technology & Electronics, Transport & Tourism",493.3
9,DAVID,Miami,Creative Agency,USA,,"Food, Retail",488.6
10,Colenso BBDO,Auckland,Creative Agency,New Zealand,,"Alcoholic Drinks, Household & Domestic, Non-profit, public sector & education, Soft Drinks",382.3
11,Droga5,New York,Creative Agency,USA,X,"Alcoholic Drinks, Clothing & Accessories, Food, Media & Publishing, Technology & Electronics",376.3
12,The Martin Agency,Richmond,Creative Agency,USA,,"Financial Services, Non-profit, public sector & education",357.9
13,Saatchi & Saatchi,London,Creative Agency,UK,,"Financial Services, Food, Telecoms & Utilities, Transport & Tourism",350.1
14,Hakuhodo,Tokyo,Creative Agency,Japan,,"Automotive, Financial Services, Media & Publishing, Non-profit, public sector & education, Retail, Technology & Electronics, Telecoms & Utilities, Transport & Tourism",339.5
15,Alma DDB,Miami,Creative Agency,USA,,"Media & Publishing, Non-profit, public sector & education, Telecoms & Utilities",328.9
16,Ogilvy & Mather,Bangkok,Creative Agency,Thailand,,"Financial Services, Household & Domestic, Leisure & Entertainment, Non-profit, public sector & education, Transport & Tourism",322.9
17,TBWA\Hakuhodo,Tokyo,Creative Agency,Japan,,"Automotive, Clothing & Accessories, Financial Services, Leisure & Entertainment, Pharma & Healthcare, Transport & Tourism",305.1
18,Leo Burnett,Chicago,Creative Agency,USA,,"Leisure & Entertainment, Non-profit, public sector & education, Technology & Electronics, Toiletries & Cosmetics",289.4
19,Ogilvy & Mather,Singapore,Creative Agency,Singapore,,"Financial Services, Leisure & Entertainment, Telecoms & Utilities",283.7
20,AMV BBDO,London,Creative Agency,UK,,"Food, Leisure & Entertainment, Non-profit, public sector & education, Pharma & Healthcare, Technology & Electronics, Toiletries & Cosmetics",281.8
21,&Co,Copenhagen,Creative Agency,Denmark,X,"Media & Publishing, Transport & Tourism",280.5
22,J. Walter Thompson,Amsterdam,Creative Agency,Netherlands,,"Financial Services, Non-profit, public sector & education",279.2
23,Scholz & Friends,Berlin,Creative Agency,Germany,,"Clothing & Accessories, Media & Publishing, Non-profit, public sector & education",278.0
24,Cossette,Toronto,Creative Agency,Canada,,"Food, Non-profit, public sector & education, Retail, Toiletries & Cosmetics",277.4
25,Serviceplan,Munich,Creative Agency,Germany,X,"Clothing & Accessories, Non-profit, public sector & education, Retail, Technology & Electronics",269.6
26,POL,Oslo,Creative Agency,Norway,X,"Automotive, Non-profit, public sector & education",268.9
27,Grabarz & Partner,Hamburg,Creative Agency,Germany,X,"Automotive, Retail",262.9
28,Impact BBDO,Dubai,Creative Agency,United Arab Emirates,,"Financial Services, Food, Leisure & Entertainment, Non-profit, public sector & education, Pharma & Healthcare, Retail, Soft Drinks, Technology & Electronics",257.0
29,180LA,Los Angeles,Creative Agency,USA,,"Non-profit, public sector & education, Telecoms & Utilities, Transport & Tourism",243.5
30,McCann,Melbourne,Creative Agency,Australia,,"Non-profit, public sector & education",242.4
31,J. Walter Thompson,New York,Creative Agency,USA,,"Leisure & Entertainment, Media & Publishing, Non-profit, public sector & education, Pharma & Healthcare",241.2
32,McCann,Mumbai,Creative Agency,India,,"Financial Services, Non-profit, public sector & education",238.2
33,Ogilvy & Mather,Chicago,Creative Agency,USA,,"Household & Domestic, Leisure & Entertainment, Non-profit, public sector & education, Toiletries & Cosmetics",236.6
34,HEIMAT,Berlin,Creative Agency,Germany,,"Business & Industrial, Leisure & Entertainment, Non-profit, public sector & education, Retail",236.2
35,Mercado McCann,Buenos Aires,Creative Agency,Argentina,,"Financial Services, Food, Media & Publishing, Pharma & Healthcare, Retail, Technology & Electronics",234.8
36,CHE Proximity,Sydney,Creative Agency,Australia,,"Pharma & Healthcare, Transport & Tourism",223.6
37,Cheil,Hong Kong,Creative Agency,Hong Kong,X,"Food, Leisure & Entertainment, Non-profit, public sector & education, Retail, Technology & Electronics",223.4
38,J. Walter Thompson,London,Creative Agency,UK,,"Business & Industrial, Non-profit, public sector & education",222.2
39,FCB,Toronto,Creative Agency,Canada,,"Non-profit, public sector & education, Transport & Tourism",220.4
40,Publicis,London,Creative Agency,UK,,"Alcoholic Drinks, Transport & Tourism",217.1
41,4Creative,London,Creative Agency,UK,X,Media & Publishing,216.5
42,Saatchi & Saatchi,Sydney,Creative Agency,Australia,,"Automotive, Financial Services",211.9
43,BBH,Singapore,Creative Agency,Singapore,,Clothing & Accessories,211.4
44,Leo Burnett,Toronto,Creative Agency,Canada,,"Household & Domestic, Retail",211.2
45,DDB,Paris,Creative Agency,France,,"Automotive, Leisure & Entertainment, Technology & Electronics",207.9
46,TRY,Oslo,Creative Agency,Norway,X,"Automotive, Financial Services, Food, Household & Domestic, Leisure & Entertainment, Non-profit, public sector & education, Soft Drinks, Telecoms & Utilities, Transport & Tourism",207.8
47,Serviceplan,Seoul,Creative Agency,South Korea,X,"Clothing & Accessories, Technology & Electronics",206.2
48,DDB,New York,Creative Agency,USA,,"Non-profit, public sector & education",203.4
49,Akestam Holst,Stockholm,Creative Agency,Sweden,X,"Non-profit, public sector & education, Pharma & Healthcare, Retail",203.0
50,Ogilvy & Mather,Frankfurt,Creative Agency,Germany,,"Clothing & Accessories, Non-profit, public sector & education",202.7
51,CJ Worx,Bangkok,Creative Agency,Thailand,X,Business & Industrial,200.0
51,Saatchi & Saatchi,New York,Creative Agency,USA,,Household & Domestic,200.0
53,DDB,Berlin,Creative Agency,Germany,,"Automotive, Non-profit, public sector & education",198.0
53,Leo Burnett,Melbourne,Creative Agency,Australia,,"Food, Non-profit, public sector & education",198.0
55,Memac Ogilvy & Mather,Dubai,Creative Agency,United Arab Emirates,,"Automotive, Food, Media & Publishing, Non-profit, public sector & education, Retail, Soft Drinks, Technology & Electronics",195.4
56,TBWA\RAAD,Dubai,Creative Agency,United Arab Emirates,,"Automotive, Household & Domestic, Retail, Telecoms & Utilities, Transport & Tourism",190.6
57,Clemenger BBDO | Touchcast,Wellington,Creative Agency,New Zealand,,"Non-profit, public sector & education, Transport & Tourism",167.7
58,TBWA\Santiago Mangada Puno,Makati City,Creative Agency,Philippines,,"Non-profit, public sector & education",165.8
59,R/GA,New York,Creative Agency,USA,,"Clothing & Accessories, Media & Publishing, Non-profit, public sector & education, Technology & Electronics, Telecoms & Utilities",161.0
60,Publicis,Milan,Creative Agency,Italy,,"Alcoholic Drinks, Clothing & Accessories",160.1
61,Cheil,Seoul,Creative Agency,South Korea,X,"Automotive, Retail, Technology & Electronics",159.6
62,DAVID,Buenos Aires,Creative Agency,Argentina,,"Non-profit, public sector & education, Soft Drinks",158.4
63,TBWA\Paris,Boulogne-Billancourt,Creative Agency,France,,"Non-profit, public sector & education, Retail",157.7
64,Philipp Und Keuntje,Hamburg,Creative Agency,Germany,X,Clothing & Accessories,156.8
65,Forsman & Bodenfors,Gothenburg,Creative Agency,Sweden,,"Automotive, Telecoms & Utilities, Toiletries & Cosmetics, Transport & Tourism",154.2
66,La Comunidad,Buenos Aires,Creative Agency,Argentina,,"Clothing & Accessories, Food, Media & Publishing, Non-profit, public sector & education, Transport & Tourism",152.0
67,TBWA\Chiat\Day,Los Angeles,Creative Agency,USA,,Soft Drinks,151.3
68,Goodby Silverstein & Partners,San Francisco,Creative Agency,USA,,"Business & Industrial, Food, Media & Publishing, Retail",149.5
