,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
The top Brands in 2018,,,,,
,,,,,
Rank,Brand,Product Category,Points,,
1,Nike,Clothing & Accessories,820.5,,
2,Volkswagen,Automotive,650.3,,
3,IKEA,Retail,639.1,,
4,Getty Images,Business & Industrial,503.9,,
5,McDonald's,Retail,469.7,,
6,Audi,Automotive,429.2,,
7,Burger King,Retail,422.8,,
8,Snickers,Food,417.1,,
9,Adidas,Clothing & Accessories,398.9,,
10,Netflix,Media & Publishing,383.6,,
11,Google,Technology & Electronics,375.7,,
12,Amnesty International,"Non-profit, public sector & education",351.7,,
13,Pedigree,Household & Domestic,342.3,,
14,Toyota,Automotive,332.1,,
15,Deutsche Telekom,Telecoms & Utilities,301.4,,
16,Samsung,Technology & Electronics,290.2,,
17,Heineken,Alcoholic Drinks,286.7,,
18,Donate Life America,"Non-profit, public sector & education",263.0,,
19,Der Tagesspiegel,Media & Publishing,245.3,,
20,Transport Accident Commission,"Non-profit, public sector & education",239.4,,
21,Coca-Cola,Soft Drinks,237.7,,
22,Old Spice,Toiletries & Cosmetics,207.2,,
23,AP (Thailand) Property Development,Business & Industrial,200.0,,
23,Addict'Aide,"Non-profit, public sector & education",200.0,,
23,Sandy Hook Promise,"Non-profit, public sector & education",200.0,,
23,Lockheed Martin,Business & Industrial,200.0,,
23,Channel 4 Paralympics,Media & Publishing,200.0,,
23,Boost Mobile,Telecoms & Utilities,200.0,,
23,State Street Global Advisors,Financial Services,200.0,,
23,Canadian Down Syndrome Society,"Non-profit, public sector & education",200.0,,
23,SickKids Foundation,"Non-profit, public sector & education",200.0,,
23,Alliance Francaise de Singapour Cine-Club,Leisure & Entertainment,200.0,,
23,John Lewis,Retail,200.0,,
23,Dot Incorporation,Technology & Electronics,200.0,,
23,Tide,Household & Domestic,200.0,,
23,Sony Gravity Daze 2,Technology & Electronics,200.0,,
37,Libération,Media & Publishing,199.1,,
38,Heinz,Food,194.4,,
39,University Of Melbourne,"Non-profit, public sector & education",192.7,,
40,Lego,Leisure & Entertainment,191.9,,
41,Cochlear Hearing Implant,Pharma & Healthcare,185.6,,
42,Black Lives Matter,"Non-profit, public sector & education",184.5,,
43,Under Armour,Clothing & Accessories,174.0,,
44,"Ministry of Public Health, Afghanistan","Non-profit, public sector & education",166.8,,
45,TV2,Media & Publishing,165.2,,
46,Geico,Financial Services,157.9,,
47,RIMOWA Electronic Tag,Clothing & Accessories,156.8,,
48,Volvo,Automotive,156.5,,
49,Canal+,Media & Publishing,153.8,,
50,Headspace,"Non-profit, public sector & education",151.9,,
51,Gatorade,Soft Drinks,151.3,,
52,Italia Longeva,"Non-profit, public sector & education",145.7,,
53,MACMA,"Non-profit, public sector & education",144.8,,
54,Skittles,Food,144.1,,
55,Hornbach,Retail,143.4,,
56,Free A Girl,"Non-profit, public sector & education",141.2,,
57,Tourism Ireland,Transport & Tourism,139.5,,
58,Kiwi Quality Shoe Care,Household & Domestic,138.2,,
59,ING,Financial Services,137.9,,
60,Ubisoft Ghost Recon Wildlands,Technology & Electronics,137.1,,
61,Samsung Gear,Technology & Electronics,136.9,,
62,Bonds,Clothing & Accessories,136.3,,
63,Glasgow School of Art,"Non-profit, public sector & education",134.2,,
64,UN Women,"Non-profit, public sector & education",132.0,,
64,Loterias Y Apuestas Del Estado,Leisure & Entertainment,132.0,,
66,Spotify,Media & Publishing,131.6,,
67,Verena Sure,Pharma & Healthcare,131.5,,
68,Art Institute of Chicago,Leisure & Entertainment,127.9,,
69,Parisian Road Safety Authority,"Non-profit, public sector & education",127.2,,
70,Glico,Food,127.0,,
71,TYC Sports,Media & Publishing,126.8,,
72,Pink Ribbon Germany,"Non-profit, public sector & education",126.3,,
73,Uniqlo,Retail,124.3,,
74,Whirlpool,Technology & Electronics,120.7,,
75,JBL Noise Cancelling Headphone Headphones,Technology & Electronics,118.2,,
76,Campaign against the return of the Marcoses to Malacanang (CARMMA),"Non-profit, public sector & education",113.8,,
77,Twitter,Media & Publishing,113.4,,
77,Havaianas,Clothing & Accessories,113.4,,
79,Microsoft,Technology & Electronics,112.2,,
80,Gun By Gun,"Non-profit, public sector & education",108.9,,
81,Nissan,Automotive,105.5,,
82,AAMI,Financial Services,105.3,,
83,KiwiRail,Transport & Tourism,105.0,,
84,TV-Aksjonen NRK / Red Cross / Ikea,"Non-profit, public sector & education",104.5,,
85,Momondo,Transport & Tourism,104.2,,
86,Dove,Toiletries & Cosmetics,103.6,,
87,H&M,Retail,101.4,,
88,Ubrew,Alcoholic Drinks,99.8,,
89,Axe,Toiletries & Cosmetics,98.9,,
90,Quilmes Beer,Alcoholic Drinks,95.7,,
91,Wildlife Conservation Film Festival,"Non-profit, public sector & education",94.5,,
92,IM Swedish Development Partner,"Non-profit, public sector & education",93.9,,
93,Du Telecommunications,Telecoms & Utilities,93.3,,
94,Wendy's,Retail,92.9,,
