Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
1,McCann,New Delhi,Creative Agency,India,,"Clothing & Accessories, Financial Services, Household & Domestic, Non-profit, public sector & education, Pharma & Healthcare",135.3
2,MediaCom,London,Media Agency,UK,,"Automotive, Food, Household & Domestic, Non-profit, public sector & education, Retail",123.5
3,Ogilvy,Mumbai,Creative Agency,India,,"Automotive, Financial Services, Food, Media & Publishing, Non-profit, public sector & education, Pharma & Healthcare, Retail, Soft Drinks, Telecoms & Utilities, Toiletries & Cosmetics, Transport & Tourism",118.5
4,Carat,London,Media Agency,UK,,"Alcoholic Drinks, Financial Services, Non-profit, public sector & education",109.5
5,Colenso BBDO,Auckland,Creative Agency,New Zealand,,"Alcoholic Drinks, Financial Services, Food, Household & Domestic, Soft Drinks, Telecoms & Utilities",103.3
6,BBH,London,Creative Agency,UK,,"Automotive, Business & Industrial, Financial Services, Food, Telecoms & Utilities",98.6
7,adam&eveDDB,London,Creative Agency,UK,,"Financial Services, Food, Retail",92.2
8,McCann,New York,Creative Agency,USA,,"Financial Services, Household & Domestic, Non-profit, public sector & education",86.2
9,TBWA\RAAD,Dubai,Creative Agency,United Arab Emirates,,"Automotive, Household & Domestic, Leisure & Entertainment, Telecoms & Utilities",77.8
10,The Womb,Mumbai,Creative Agency,India,X,Media & Publishing,75.2
11,CHE Proximity,Sydney,Creative Agency,Australia,,"Pharma & Healthcare, Transport & Tourism",73.8
12,McCann,Melbourne,Creative Agency,Australia,,"Household & Domestic, Non-profit, public sector & education, Toiletries & Cosmetics",72.5
13,AMV BBDO,London,Creative Agency,UK,,"Alcoholic Drinks, Household & Domestic, Media & Publishing, Retail, Toiletries & Cosmetics",67.6
14,AlmapBBDO,São Paulo,Creative Agency,Brazil,,"Alcoholic Drinks, Automotive, Clothing & Accessories, Food, Retail, Soft Drinks, Technology & Electronics, Toiletries & Cosmetics, Transport & Tourism",62.4
15,FP7/CAI,Cairo,Creative Agency,Egypt,,"Business & Industrial, Financial Services, Retail, Soft Drinks, Toiletries & Cosmetics",62.2
16,Mindshare,Istanbul,Media Agency,Turkey,,"Automotive, Business & Industrial, Food, Household & Domestic, Non-profit, public sector & education, Retail, Technology & Electronics, Telecoms & Utilities, Toiletries & Cosmetics",61.7
17,FP7/DXB,Dubai,Creative Agency,United Arab Emirates,,"Business & Industrial, Financial Services, Food, Household & Domestic, Pharma & Healthcare, Retail, Soft Drinks, Telecoms & Utilities, Transport & Tourism",60.7
