Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
1,MediaCom Connections,Tel Aviv,Creative Agency,Israel,,"Household & Domestic, Toiletries & Cosmetics",201.7
2,Touché!,Montreal,Creative Agency,Canada,,"Retail, Soft Drinks, Transport & Tourism",194.0
3,Mindshare,Shanghai,Creative Agency,China (Mainland),,"Clothing & Accessories, Food, Retail",186.0
4,UM,Sydney,Creative Agency,Australia,,"Leisure & Entertainment, Soft Drinks, Telecoms & Utilities, Transport & Tourism",182.7
5,MediaCom,London,Creative Agency,UK,,"Business & Industrial, Food, Non-profit, public sector & education, Retail, Technology & Electronics",150.4
6,MediaCom,Mexico City,Creative Agency,Mexico,,"Alcoholic Drinks, Business & Industrial, Media & Publishing, Soft Drinks, Toiletries & Cosmetics",140.8
7,Havas Media,London,Creative Agency,UK,,"Financial Services, Non-profit, public sector & education, Technology & Electronics, Telecoms & Utilities",136.9
8,PHD,Auckland,Creative Agency,New Zealand,,"Alcoholic Drinks, Telecoms & Utilities",112.4
9,Mindshare,Mumbai,Creative Agency,India,,"Business & Industrial, Financial Services, Household & Domestic, Media & Publishing, Toiletries & Cosmetics",104.4
10,UM,New York,Creative Agency,USA,,"Automotive, Media & Publishing, Transport & Tourism",104.1
11,PHD,New York,Creative Agency,USA,,"Media & Publishing, Pharma & Healthcare, Retail, Technology & Electronics",101.6
12,Mindshare,Sydney,Creative Agency,Australia,,Media & Publishing,88.8
13,PHD,London,Creative Agency,UK,,"Automotive, Media & Publishing, Retail",88.1
14,Mindshare,London,Creative Agency,UK,,"Automotive, Clothing & Accessories, Media & Publishing, Retail, Toiletries & Cosmetics",87.3
15,Mediaplus,Munich,Creative Agency,Germany,X,"Alcoholic Drinks, Automotive, Clothing & Accessories, Media & Publishing, Non-profit, public sector & education",84.7
16,Hearts & Science,New York,Creative Agency,USA,,"Household & Domestic, Telecoms & Utilities, Toiletries & Cosmetics",74.6
17,J. Walter Thompson,São Paulo,Creative Agency,Brazil,,"Alcoholic Drinks, Food, Household & Domestic, Soft Drinks",71.5
18,DPZ&T,São Paulo,Creative Agency,Brazil,,Retail,63.4
19,DDB,Auckland,Creative Agency,New Zealand,,"Alcoholic Drinks, Non-profit, public sector & education",63.3
20,Starcom,Chicago,Creative Agency,USA,,"Financial Services, Food, Retail",61.8
