,,,,,
Rank,Brand,Product Category,Points,,
1,Gillette,Toiletries & Cosmetics,191.7,,
2,Tourism Australia,Transport & Tourism,120.3,,
3,McDonald's,Retail,104.7,,
4,Cerveza Victoria,Alcoholic Drinks,91.6,,
5,VIA Rail,Transport & Tourism,91.3,,
6,Foxtel,Media & Publishing,88.8,,
7,KFC,Retail,87.4,,
8,Uniqlo,Retail,86.1,,
9,Québec Milk Producers,Soft Drinks,74.5,,
10,O2,Telecoms & Utilities,71.5,,
11,DB Export,Alcoholic Drinks,70.6,,
12,Netflix,Media & Publishing,64.8,,
13,Lifebuoy,Toiletries & Cosmetics,63.6,,
14,Volkswagen,Automotive,63.1,,
15,Budweiser,Alcoholic Drinks,61.3,,
16,Coca-Cola,Soft Drinks,61.0,,
17,Colgate,Toiletries & Cosmetics,60.4,,
18,Spotify,Media & Publishing,59.6,,
19,Shell,Business & Industrial,59.4,,
20,Star Plus,Media & Publishing,57.8,,
21,Samsung,Technology & Electronics,56.2,,
22,Akbank,Financial Services,54.9,,
23,Greenpeace,"Non-profit, public sector & education",54.7,,
24,BMW,Automotive,51.8,,
25,The LEGO Batman Movie,Media & Publishing,51.3,,
25,Huggies,Toiletries & Cosmetics,51.3,,
27,Vodafone,Telecoms & Utilities,50.6,,
28,Palau Legacy Project,"Non-profit, public sector & education",50.3,,
29,Argos,Retail,50.0,,
29,Tesco,Retail,50.0,,
31,beIN Sports,Media & Publishing,49.8,,
32,Burger King,Retail,49.1,,
33,Pantene,Toiletries & Cosmetics,48.4,,
34,Xbox,Technology & Electronics,48.1,,
35,Skittles,Food,46.0,,
36,Sky,Media & Publishing,44.3,,
37,Lynx,Toiletries & Cosmetics,43.3,,
38,UNICEF,"Non-profit, public sector & education",43.0,,
39,DNB,Financial Services,42.6,,
40,Amazon Echo,Technology & Electronics,42.0,,
41,Cancer Research,"Non-profit, public sector & education",41.7,,
42,Kia,Automotive,40.8,,
43,Tennessee Department of Tourist Development,Transport & Tourism,40.0,,
44,Nike Basketball,Clothing & Accessories,39.9,,
45,OMO,Household & Domestic,39.0,,
46,Google,Technology & Electronics,38.1,,
47,Rexona,Toiletries & Cosmetics,37.5,,
48,Spark,Telecoms & Utilities,37.0,,
49,Netsafe,"Non-profit, public sector & education",35.6,,
50,Beats,Technology & Electronics,35.5,,
51,Grupo Modelo,Alcoholic Drinks,35.3,,
52,Volvo,Automotive,35.2,,
53,Bank of America,Financial Services,35.0,,
54,Intel,Technology & Electronics,34.7,,
55,LEGO,Leisure & Entertainment,33.4,,
55,Snickers,Food,33.4,,
57,MailChimp,Technology & Electronics,33.3,,
57,Theraflu,Pharma & Healthcare,33.3,,
59,Mobil,Business & Industrial,33.2,,
60,Flixonase,Pharma & Healthcare,32.6,,
61,Aldi,Retail,32.5,,
62,CALM,"Non-profit, public sector & education",32.3,,
63,Verizon,Telecoms & Utilities,32.0,,
64,Reclame Aquí,Media & Publishing,31.7,,
65,Monash University,"Non-profit, public sector & education",30.2,,
66,KitKat,Food,30.0,,
66,Louvre Abu Dhabi,Leisure & Entertainment,30.0,,
68,Natural History Museum,Leisure & Entertainment,29.9,,
69,Audi,Automotive,29.4,,
70,Procter & Gamble,Toiletries & Cosmetics,29.3,,
71,Fiat,Automotive,28.6,,
71,Arnotts,Food,28.6,,
73,Steinlager,Alcoholic Drinks,27.7,,
74,Deutsche Telekom,Telecoms & Utilities,27.6,,
75,Turkcell,Telecoms & Utilities,27.0,,
75,Tide,Household & Domestic,27.0,,
77,Interior Ministry,"Non-profit, public sector & education",26.9,,
78,Finavia,Transport & Tourism,26.7,,
78,Škoda,Automotive,26.7,,
80,Amnesty International,"Non-profit, public sector & education",26.4,,
81,HBO,Media & Publishing,26.2,,
82,Telekom Electronic Beats,Telecoms & Utilities,25.7,,
83,Mastercard,Financial Services,25.5,,
84,M&M's,Food,25.4,,
85,Fanta,Soft Drinks,25.2,,
86,Harpic,Household & Domestic,25.0,,
86,Magyar Telekom,Telecoms & Utilities,25.0,,
86,Marmite,Food,25.0,,
89,United Airlines,Transport & Tourism,23.8,,
90,Cochlear,Pharma & Healthcare,23.7,,
90,Sangobion,Pharma & Healthcare,23.7,,
90,Wingstop,Retail,23.7,,
93,IHOP,Retail,23.4,,
94,Channel 4,Media & Publishing,23.3,,
94,Royal Mint Bullion,Financial Services,23.3,,
96,Ford,Automotive,22.1,,
97,DDL&CO,Retail,21.9,,
97,Core Pavilion,Technology & Electronics,21.9,,
97,La Sirena,Retail,21.9,,
100,Animal Care Centers of NYC,"Non-profit, public sector & education",21.0,,
101,Pepsi,Soft Drinks,20.7,,
102,Women and Men Progressive Foundation,"Non-profit, public sector & education",20.2,,
102,Carsales,Automotive,20.2,,
104,IKEA,Retail,20.1,,
105,Xfinity Mobile,Telecoms & Utilities,20.0,,
