Rank,Brand,Product Category,Points,,
1,McDonald's,Retail,174.9,,
2,Coca-Cola,Soft Drinks,169.9,,
3,IKEA,Retail,145.5,,
4,KFC,Retail,144.2,,
5,Vodafone,Telecoms & Utilities,118.6,,
6,Burger King,Retail,87.3,,
7,Tide,Household & Domestic,75.0,,
8,Xbox,Technology & Electronics,74.7,,
9,Hiroshima Tourism,Transport & Tourism,69.1,,
10,National Safety Council,"Non-profit, public sector & education",65.9,,
11,Lifebuoy,Toiletries & Cosmetics,63.5,,
12,Nescafé,Soft Drinks,61.5,,
13,Babyshop,Retail,60.8,,
14,Aldi,Retail,60.3,,
15,Carrefour,Retail,56.0,,
16,Tesco,Retail,55.2,,
17,CALM,"Non-profit, public sector & education",51.1,,
18,Snickers,Food,49.0,,
19,Bodyform/Libresse,Toiletries & Cosmetics,48.6,,
20,Chevrolet,Automotive,47.6,,
21,Saudi Telecom Company,Telecoms & Utilities,46.5,,
22,NRMA Insurance,Financial Services,45.1,,
23,KitKat,Food,43.3,,
24,Amazon Prime,Retail,43.1,,
25,Volkswagen,Automotive,40.5,,
26,Sprite,Soft Drinks,40.3,,
27,Puck,Food,39.9,,
28,UN Women,"Non-profit, public sector & education",39.7,,
29,Netsafe,"Non-profit, public sector & education",39.3,,
29,Emirates NBD,Financial Services,39.3,,
31,BBVA,Financial Services,38.9,,
32,Volvo,Automotive,38.4,,
33,Stayfree,Toiletries & Cosmetics,38.2,,
34,Absolut,Alcoholic Drinks,37.1,,
35,Special Olympics,Leisure & Entertainment,36.6,,
36,IHOP,Retail,36.2,,
37,Lidl,Retail,36.0,,
37,Noblex,Technology & Electronics,36.0,,
39,Renault,Automotive,35.9,,
40,Royal Automobile Club of Victoria,Financial Services,35.5,,
41,Movistar,Telecoms & Utilities,34.9,,
42,Castrol,Automotive,34.5,,
43,Dubai Properties,Business & Industrial,32.9,,
44,Oreo,Food,32.7,,
44,L'Oréal,Toiletries & Cosmetics,32.7,,
46,Lay's,Food,32.5,,
47,Claro,Telecoms & Utilities,32.0,,
48,Toyota,Automotive,31.8,,
49,Telekom,Telecoms & Utilities,31.5,,
50,Tele2,Telecoms & Utilities,31.3,,
50,Great Northern,Alcoholic Drinks,31.3,,
52,Tourism Australia,Transport & Tourism,30.8,,
52,Mastercard,Financial Services,30.8,,
54,IBM,Technology & Electronics,30.1,,
