Rank,Brand,Product Category,Points,,
1,KFC,Retail,278.2,,
2,Foxtel,Media & Publishing,216.4,,
3,Lifebuoy,Toiletries & Cosmetics,209.7,,
4,Nike,Clothing & Accessories,205.5,,
5,Samsung Galaxy,Technology & Electronics,149.6,,
6,Burger King,Retail,108.5,,
7,Sport Chek / Canadian Tire,Retail,106.1,,
8,McDonald's,Retail,105.2,,
9,Uber Eats,Retail,90.5,,
10,Uber,Transport & Tourism,82.3,,
11,Oh Henry!,Food,80.7,,
12,Cheerios,Food,80.4,,
13,Missguided,Retail,77.2,,
14,Vans,Clothing & Accessories,76.5,,
15,Tourism Australia,Transport & Tourism,76.3,,
16,Pantene,Toiletries & Cosmetics,72.4,,
17,Güd,Household & Domestic,69.8,,
18,Cerveza Victoria,Alcoholic Drinks,67.4,,
19,Vodafone,Telecoms & Utilities,67.2,,
20,Aldi,Retail,63.0,,
21,Volkswagen,Automotive,60.6,,
22,Lay's,Food,59.3,,
23,MINI,Automotive,58.4,,
24,Coca-Cola,Soft Drinks,56.1,,
25,Skittles,Food,56.0,,
26,Maybelline,Toiletries & Cosmetics,54.6,,
27,Oral B,Toiletries & Cosmetics,51.9,,
28,Canesten,Pharma & Healthcare,51.5,,
28,FDA,"Non-profit, public sector & education",51.5,,
30,Škoda,Automotive,51.1,,
31,Head & Shoulders,Toiletries & Cosmetics,50.9,,
32,Tide,Household & Domestic,50.0,,
32,NBA on ESPN,Media & Publishing,50.0,,
32,Glade,Household & Domestic,50.0,,
35,Pizza Pizza,Retail,49.0,,
36,P/S,Toiletries & Cosmetics,48.8,,
37,Wendy's,Retail,46.5,,
38,Cadillac,Automotive,44.7,,
39,Babyshop,Retail,44.3,,
39,Intel,Technology & Electronics,44.3,,
41,Huawei,Technology & Electronics,44.2,,
42,Foodbank,"Non-profit, public sector & education",43.6,,
43,The North Face,Clothing & Accessories,42.8,,
43,Three,Telecoms & Utilities,42.8,,
45,Gazeta.pl,Media & Publishing,42.6,,
46,Pepsi,Soft Drinks,42.3,,
47,Frank's RedHot,Food,41.7,,
48,Deutsche Bahn,Transport & Tourism,40.6,,
49,Brahma,Alcoholic Drinks,40.5,,
50,Knorr,Food,40.2,,
51,Shell,Automotive,40.1,,
52,Dove,Toiletries & Cosmetics,40.0,,
53,adidas,Clothing & Accessories,38.1,,
54,Uniqlo,Retail,37.3,,
55,Biti's Kids,Retail,36.9,,
56,Extra Gum,Food,35.4,,
56,ANZ Bank,Financial Services,35.4,,
58,Berocca,Pharma & Healthcare,34.8,,
59,Ancestry,Media & Publishing,34.0,,
60,Berger Paints,Household & Domestic,33.1,,
61,Rexona,Toiletries & Cosmetics,31.8,,
62,Nescafé,Soft Drinks,31.4,,
63,Reporters Without Borders,"Non-profit, public sector & education",31.3,,
63,Google Assistant,Technology & Electronics,31.3,,
65,Axis Bank,Financial Services,30.8,,
66,Otees,Food,30.6,,
67,Chipotle,Retail,30.0,,
67,T-Mobile,Telecoms & Utilities,30.0,,
69,Axe,Toiletries & Cosmetics,29.6,,
70,Doritos,Food,29.4,,
71,BMW,Automotive,29.1,,
72,Britain's Beer Alliance,Alcoholic Drinks,29.0,,
73,Hellmann's,Food,28.6,,
74,Visa,Financial Services,28.4,,
75,Castrol,Automotive,27.7,,
76,BiP,Telecoms & Utilities,27.5,,
77,Google Translate,Technology & Electronics,27.1,,
78,Special Olympics,Leisure & Entertainment,26.9,,
79,OMO,Household & Domestic,26.8,,
80,Ministry of Health,"Non-profit, public sector & education",26.2,,
80,Bubly,Soft Drinks,26.2,,
82,Centre Pompidou,Leisure & Entertainment,26.1,,
83,Google Home,Technology & Electronics,25.8,,
83,L'Oréal,Toiletries & Cosmetics,25.8,,
85,RAKBANK,Financial Services,25.7,,
85,Hydro-Québec,Telecoms & Utilities,25.7,,
87,Budweiser,Alcoholic Drinks,25.6,,
88,Renault,Automotive,25.4,,
89,Kloop,Media & Publishing,25.3,,
90,Snickers,Food,25.2,,
91,Dyson,Technology & Electronics,24.7,,
92,Movember Foundation,"Non-profit, public sector & education",24.6,,
93,Fanta,Soft Drinks,24.5,,
94,LegalWise,Financial Services,24.4,,
95,Volvo,Automotive,24.2,,
96,Zhonghua,Toiletries & Cosmetics,23.2,,
97,Hyundai,Automotive,23.1,,
98,Emirates,Transport & Tourism,22.8,,
99,Ralph Breaks the Internet,Media & Publishing,22.7,,
100,LifeDirect,Financial Services,22.6,,
101,Puck,Food,22.4,,
102,Visible,Telecoms & Utilities,22.3,,
103,Meesho,Retail,22.1,,
103,IKEA,Retail,22.1,,
105,CVS Pharmacy,Pharma & Healthcare,20.8,,
105,Movimento Superação,"Non-profit, public sector & education",20.8,,
107,Bodyform/Libresse,Toiletries & Cosmetics,20.6,,
108,NRMA Insurance,Financial Services,20.5,,
109,Mirinda,Soft Drinks,20.4,,
110,Office for Seniors,"Non-profit, public sector & education",20.2,,
110,Specsavers,Retail,20.2,,
112,Black & Abroad,Transport & Tourism,20.0,,
112,Payless,Retail,20.0,,
112,DNB,Financial Services,20.0,,
112,Ben & Jerry's,Food,20.0,,
112,Cancer@Work,"Non-profit, public sector & education",20.0,,
117,DenizBank fastPay,Financial Services,19.9,,
117,Dimes,Soft Drinks,19.9,,
119,Standard Chartered,Financial Services,19.5,,
120,Shell Advance,Automotive,19.3,,
121,Skinny,Telecoms & Utilities,19.1,,
122,An-Nahar,Media & Publishing,18.9,,
123,Yaani,Technology & Electronics,18.7,,
124,CALM,"Non-profit, public sector & education",18.5,,
125,Grupo Dignidade,"Non-profit, public sector & education",18.2,,
125,Verizon,Telecoms & Utilities,18.2,,
127,Etisalat,Telecoms & Utilities,18.0,,
128,LEGO,Leisure & Entertainment,17.9,,
129,Pampers,Toiletries & Cosmetics,17.7,,
129,Fondation pour la Recherche Médicale,"Non-profit, public sector & education",17.7,,
129,VICE,Media & Publishing,17.7,,
132,Wall's,Food,17.6,,
133,Helsingin Sanomat,Media & Publishing,17.5,,
133,Cesar,Household & Domestic,17.5,,
133,Mountain Dew,Soft Drinks,17.5,,
136,Hsu Fu Chi,Food,17.3,,
137,Virgin Radio,Media & Publishing,17.1,,
137,Telenor,Telecoms & Utilities,17.1,,
