Rank,Agency Name,City,Agency Type,Agency Location,Independent?,Product Category,Points
1,BBDO,New York,Creative Agency,USA,,"Alcoholic Drinks, Clothing & Accessories, Food, Leisure & Entertainment, Non-profit, public sector & education, Retail, Telecoms & Utilities, Toiletries & Cosmetics",403.2
2,AMV BBDO,London,Creative Agency,UK,,"Alcoholic Drinks, Non-profit, public sector & education, Toiletries & Cosmetics",295.9
3,adam&eveDDB,London,Creative Agency,UK,,"Alcoholic Drinks, Food, Leisure & Entertainment, Non-profit, public sector & education, Retail",291.0
4,LOLA MullenLowe,Madrid,Creative Agency,Spain,,"Alcoholic Drinks, Food, Leisure & Entertainment, Media & Publishing, Non-profit, public sector & education, Retail, Soft Drinks",280.3
5,McCann,New York,Creative Agency,USA,,"Financial Services, Leisure & Entertainment, Media & Publishing, Non-profit, public sector & education, Pharma & Healthcare, Telecoms & Utilities",258.6
6,Host/Havas,Sydney,Creative Agency,Australia,,"Non-profit, public sector & education, Transport & Tourism",204.9
7,McCann,London,Creative Agency,UK,,"Technology & Electronics, Transport & Tourism",193.6
8,Colenso BBDO,Auckland,Creative Agency,New Zealand,,"Alcoholic Drinks, Household & Domestic",190.9
9,BWM Dentsu,Sydney,Creative Agency,Australia,,"Non-profit, public sector & education",189.5
10,Saatchi & Saatchi,New York,Creative Agency,USA,,"Household & Domestic, Non-profit, public sector & education",185.5
11,Publicis,Milan,Creative Agency,Italy,,Clothing & Accessories,177.7
12,DDB,Chicago,Creative Agency,USA,,Food,175.6
13,Jung von Matt,Hamburg,Creative Agency,Germany,X,"Automotive, Clothing & Accessories, Financial Services, Non-profit, public sector & education, Retail",169.1
14,DAVID,Miami,Creative Agency,USA,,"Alcoholic Drinks, Food, Retail",148.3
15,Droga5,New York,Creative Agency,USA,X,"Food, Media & Publishing, Technology & Electronics, Telecoms & Utilities, Transport & Tourism",144.0
16,MullenLowe SSP3,Bogotá,Creative Agency,Colombia,,"Media & Publishing, Non-profit, public sector & education, Retail, Technology & Electronics",134.0
17,AlmapBBDO,São Paulo,Creative Agency,Brazil,,"Automotive, Business & Industrial, Clothing & Accessories, Food, Household & Domestic, Transport & Tourism",132.8
18,FCB Ulka,Mumbai,Creative Agency,India,,Media & Publishing,128.9
19,CHE Proximity,Melbourne,Creative Agency,Australia,,"Automotive, Financial Services, Leisure & Entertainment, Pharma & Healthcare",128.6
20,Publicis,New York,Creative Agency,USA,,Clothing & Accessories,125.9
21,Wieden+Kennedy,London,Creative Agency,UK,X,"Clothing & Accessories, Food",121.2
22,Grey,São Paulo,Creative Agency,Brazil,,"Automotive, Household & Domestic, Media & Publishing",121.1
23,Serviceplan,Munich,Creative Agency,Germany,X,"Automotive, Household & Domestic, Leisure & Entertainment, Media & Publishing, Technology & Electronics",117.8
24,Energy BBDO,Chicago,Creative Agency,USA,,"Food, Non-profit, public sector & education, Pharma & Healthcare",111.6
25,Rothco,Dublin,Creative Agency,Ireland,,Media & Publishing,108.3
26,TBWA\Hakuhodo,Tokyo,Creative Agency,Japan,,"Automotive, Clothing & Accessories, Financial Services, Technology & Electronics",102.7
27,DDB,Auckland,Creative Agency,New Zealand,,"Alcoholic Drinks, Leisure & Entertainment, Non-profit, public sector & education",101.1
28,Serviceplan,Seoul,Creative Agency,South Korea,X,Technology & Electronics,100.9
29,McCann,Madrid,Creative Agency,Spain,,"Food, Non-profit, public sector & education, Retail, Soft Drinks",100.8
30,Africa,São Paulo,Creative Agency,Brazil,,"Alcoholic Drinks, Media & Publishing, Non-profit, public sector & education, Telecoms & Utilities",97.2
31,FCB/SIX,Toronto,Creative Agency,Canada,,"Non-profit, public sector & education",96.8
32,Wieden+Kennedy,Portland,Creative Agency,USA,X,"Clothing & Accessories, Retail, Toiletries & Cosmetics",96.7
33,Grabarz & Partner,Hamburg,Creative Agency,Germany,X,"Automotive, Retail",93.5
34,Ogilvy,Bogotá,Creative Agency,Colombia,,"Food, Non-profit, public sector & education, Technology & Electronics, Telecoms & Utilities",93.1
35,TBWA\RAAD,Dubai,Creative Agency,United Arab Emirates,,"Automotive, Non-profit, public sector & education, Retail, Transport & Tourism",86.4
36,TBWA\Media Arts Lab,Los Angeles,Creative Agency,USA,,Technology & Electronics,83.8
37,Ogilvy,Chicago,Creative Agency,USA,,"Household & Domestic, Leisure & Entertainment, Media & Publishing",83.0
38,McCann,Bucharest,Creative Agency,Romania,,"Media & Publishing, Soft Drinks, Telecoms & Utilities",78.9
39,Ogilvy,São Paulo,Creative Agency,Brazil,,"Media & Publishing, Pharma & Healthcare, Soft Drinks, Technology & Electronics",77.0
40,Dentsu,Tokyo,Creative Agency,Japan,,"Automotive, Business & Industrial, Leisure & Entertainment, Media & Publishing, Non-profit, public sector & education, Technology & Electronics, Telecoms & Utilities",76.5
41,Ogilvy,Guatemala City,Creative Agency,Guatemala,,Telecoms & Utilities,74.6
42,TBWA\India,Mumbai,Creative Agency,India,,"Non-profit, public sector & education",74.2
43,DDB,Madrid,Creative Agency,Spain,,"Automotive, Leisure & Entertainment, Non-profit, public sector & education, Technology & Electronics",72.7
44,Mercado McCann,Buenos Aires,Creative Agency,Argentina,,"Household & Domestic, Media & Publishing, Retail, Soft Drinks",71.8
45,TBWA\Chiat\Day,Los Angeles,Creative Agency,USA,,"Leisure & Entertainment, Soft Drinks, Technology & Electronics",70.2
46,Ogilvy,Bangkok,Creative Agency,Thailand,,"Food, Leisure & Entertainment, Non-profit, public sector & education, Retail",68.7
47,Leo Burnett,Chicago,Creative Agency,USA,,"Leisure & Entertainment, Soft Drinks, Technology & Electronics",68.5
48,Cheil Worldwide,Madrid,Creative Agency,Spain,X,"Alcoholic Drinks, Technology & Electronics",67.7
49,Ogilvy,Warsaw,Creative Agency,Poland,,"Non-profit, public sector & education",62.6
50,Ogilvy,Singapore,Creative Agency,Singapore,,"Leisure & Entertainment, Toiletries & Cosmetics",62.3
51,Åkestam Holst,Stockholm,Creative Agency,Sweden,X,Retail,58.1
52,Ogilvy,Tokyo,Creative Agency,Japan,,"Food, Leisure & Entertainment, Transport & Tourism",56.6
53,Cheil Worldwide,Gurgaon,Creative Agency,India,X,"Non-profit, public sector & education, Technology & Electronics",55.5
54,Ogilvy,Hong Kong,Creative Agency,Hong Kong,,Retail,54.8
55,Y&R,São Paulo,Creative Agency,Brazil,,"Business & Industrial, Media & Publishing, Non-profit, public sector & education, Pharma & Healthcare, Technology & Electronics",53.6
56,Marcel,Paris,Creative Agency,France,,Retail,53.0
57,Geometry,Prague,Creative Agency,Czech Republic,,Technology & Electronics,52.9
57,BBDO,Lahore,Creative Agency,Pakistan,,"Non-profit, public sector & education, Soft Drinks",52.9
59,Impact BBDO,Dubai,Creative Agency,United Arab Emirates,,"Food, Leisure & Entertainment, Retail, Toiletries & Cosmetics",52.3
60,Deloitte Digital,Melbourne,Creative Agency,Australia,X,"Non-profit, public sector & education, Pharma & Healthcare",52.0
61,DDB,Berlin,Creative Agency,Germany,,"Automotive, Non-profit, public sector & education, Retail",50.5
62,BBH,London,Creative Agency,UK,,"Automotive, Transport & Tourism",50.2
63,23 Stories,New York,Creative Agency,USA,,Media & Publishing,50.0
64,Area 23,New York,Creative Agency,USA,,"Non-profit, public sector & education",49.7
