Rank,Agency Name,City,Agency Type,Agency Location,Product Category,Points
1,McCann,New York,Creative Agency,USA,"Financial Services, Leisure & Entertainment, Non-profit, public sector & education, Technology & Electronics, Telecoms & Utilities",376.6
2,Droga5,New York,Creative Agency,USA,"Food, Media & Publishing, Non-profit, public sector & education, Retail, Transport & Tourism",375.8
3,Wieden+Kennedy,Portland,Creative Agency,USA,"Clothing & Accessories, Financial Services, Food, Retail, Toiletries & Cosmetics",297.4
4,AMV BBDO,London,Creative Agency,UK,"Alcoholic Drinks, Toiletries & Cosmetics",234.6
5,Impact BBDO,Dubai,Creative Agency,United Arab Emirates,"Food, Household & Domestic, Leisure & Entertainment, Media & Publishing, Non-profit, public sector & education",222.5
6,adam&eveDDB,London,Creative Agency,UK,"Food, Non-profit, public sector & education, Retail",221.2
7,Publicis,Milan,Creative Agency,Italy,"Alcoholic Drinks, Clothing & Accessories, Retail, Soft Drinks",211.3
8,FCB,New York,Creative Agency,USA,Retail,200
9,Africa,São Paulo,Creative Agency,Brazil,"Alcoholic Drinks, Media & Publishing, Non-profit, public sector & education, Technology & Electronics, Telecoms & Utilities",196.3
10,McCann,London,Creative Agency,UK,"Media & Publishing, Non-profit, public sector & education, Technology & Electronics, Toiletries & Cosmetics",181
11,FCB Inferno,London,Creative Agency,UK,"Media & Publishing, Technology & Electronics",165
12,DDB,Paris,Creative Agency,France,"Non-profit, public sector & education, Technology & Electronics, Transport & Tourism",144.4
13,AlmapBBDO,São Paulo,Creative Agency,Brazil,"Alcoholic Drinks, Automotive, Business & Industrial, Clothing & Accessories, Food, Household & Domestic, Media & Publishing, Soft Drinks, Toiletries & Cosmetics, Transport & Tourism",140.2
14,TBWA\Media Arts Lab,Los Angeles,Creative Agency,USA,Technology & Electronics,140
15,TBWA\Chiat\Day,New York,Creative Agency,USA,"Clothing & Accessories, Media & Publishing, Non-profit, public sector & education",136.2
16,CHE Proximity,Melbourne,Creative Agency,Australia,"Automotive, Financial Services, Pharma & Healthcare, Transport & Tourism",135.3
17,BBDO,New York,Creative Agency,USA,"Alcoholic Drinks, Food, Non-profit, public sector & education, Retail, Telecoms & Utilities",133.7
18,VMLY&R,Kansas City,Creative Agency,USA,"Retail, Transport & Tourism",117.5
19,DDB,Chicago,Creative Agency,USA,Food,114.1
20,MullenLowe SSP3,Bogotá,Creative Agency,Colombia,"Alcoholic Drinks, Automotive, Media & Publishing, Non-profit, public sector & education, Technology & Electronics",111.1
21,LOLA MullenLowe,Madrid,Creative Agency,Spain,"Food, Non-profit, public sector & education, Retail",109.6
22,Dentsu,Tokyo,Creative Agency,Japan,"Alcoholic Drinks, Business & Industrial, Food, Media & Publishing, Toiletries & Cosmetics",109.4
23,DAVID,Miami,Creative Agency,USA,"Alcoholic Drinks, Retail, Soft Drinks",107.9
24,TBWA\RAAD,Dubai,Creative Agency,United Arab Emirates,"Automotive, Financial Services, Household & Domestic, Telecoms & Utilities, Transport & Tourism",103.8
25,McCann,Tel Aviv,Creative Agency,Israel,Retail,100
26,Ogilvy,Chicago,Creative Agency,USA,"Food, Household & Domestic, Leisure & Entertainment",99.9
27,TBWA\Hunt\Lascaris,Johannesburg,Creative Agency,South Africa,"Automotive, Business & Industrial, Financial Services, Leisure & Entertainment, Telecoms & Utilities, Transport & Tourism",97.1
28,Forsman & Bodenfors,Gothenburg,Creative Agency,Sweden,Automotive,89.1
29,Wieden+Kennedy,São Paulo,Creative Agency,Brazil,"Alcoholic Drinks, Clothing & Accessories, Food, Toiletries & Cosmetics",88.5
30,McCann,Madrid,Creative Agency,Spain,"Food, Non-profit, public sector & education, Retail",88.2
31,VMLY&R,Warsaw,Creative Agency,Poland,Media & Publishing,85.3
32,Leo Burnett,Madrid,Creative Agency,Spain,Alcoholic Drinks,84.9
33,Virtue,Copenhagen,Creative Agency,Denmark,"Non-profit, public sector & education, Retail",84.8
34,McCann,Paris,Creative Agency,France,"Household & Domestic, Non-profit, public sector & education, Toiletries & Cosmetics",83.9
35,BBDO,Lahore,Creative Agency,Pakistan,"Household & Domestic, Non-profit, public sector & education",81.9
36,Clemenger BBDO,Melbourne,Creative Agency,Australia,"Food, Non-profit, public sector & education, Retail, Transport & Tourism",77.3
37,Ogilvy,Bangkok,Creative Agency,Thailand,"Business & Industrial, Financial Services, Food, Leisure & Entertainment, Non-profit, public sector & education, Retail",76.5
38,DDB,Berlin,Creative Agency,Germany,"Non-profit, public sector & education",74.2
39,BWM Dentsu,Sydney,Creative Agency,Australia,"Non-profit, public sector & education",72.5
40,Area 23,New York,Creative Agency,USA,"Non-profit, public sector & education, Technology & Electronics",71.6
41,Achtung! Mcgarrybowen,Amsterdam,Creative Agency,Netherlands,Automotive,70.8
41,Isobar,Amsterdam,Digital/Specialist Agency,Netherlands,Automotive,70.8
43,Ogilvy,Frankfurt,Creative Agency,Germany,Transport & Tourism,67.3
44,AKQA,São Paulo,Creative Agency,Brazil,"Clothing & Accessories, Media & Publishing",67
45,RBK Communication,Stockholm,Creative Agency,Sweden,Financial Services,66.5
46,TBWA\Istanbul,Istanbul,Creative Agency,Turkey,"Clothing & Accessories, Leisure & Entertainment, Retail, Telecoms & Utilities",65.6
47,Colenso BBDO,Auckland,Creative Agency,New Zealand,"Alcoholic Drinks, Household & Domestic, Telecoms & Utilities",63.2
48,Grey,Buenos Aires,Creative Agency,Argentina,"Financial Services, Media & Publishing, Non-profit, public sector & education, Soft Drinks, Transport & Tourism",62.5
48,Hakuhodo Kettle,Tokyo,Creative Agency,Japan,"Financial Services, Media & Publishing, Retail, Telecoms & Utilities, Transport & Tourism",62.5
50,Joe Public,Johannesburg,Creative Agency,South Africa,"Alcoholic Drinks, Clothing & Accessories, Financial Services, Non-profit, public sector & education, Retail, Toiletries & Cosmetics",62.3
51,Scholz & Friends,Berlin,Creative Agency,Germany,"Leisure & Entertainment, Non-profit, public sector & education, Toiletries & Cosmetics",62.1
52,GreyNJ United,Bangkok,Creative Agency,Thailand,Financial Services,60.1
53,TBWA\Hakuhodo,Tokyo,Creative Agency,Japan,"Automotive, Financial Services, Non-profit, public sector & education, Pharma & Healthcare, Transport & Tourism",59.1
54,Hakuhodo,Tokyo,Creative Agency,Japan,"Business & Industrial, Financial Services, Food, Media & Publishing, Retail, Technology & Electronics, Transport & Tourism",57.5
55,Marcel,Paris,Creative Agency,France,"Food, Leisure & Entertainment, Retail",57.2
56,BBDO,Atlanta,Creative Agency,USA,"Non-profit, public sector & education",56.9
