Rank,Brand,Product Category,Points,,
1,Nike,Clothing & Accessories,297.5,,
2,McDonald's,Retail,263.7,,
3,Snickers,Food,227.9,,
4,Dove,Toiletries & Cosmetics,204.5,,
5,Netflix,Media & Publishing,194.5,,
6,Shell,Business & Industrial,180.8,,
7,Samsung,Technology & Electronics,136.1,,
8,Headspace,"Non-profit, public sector & education",129.1,,
9,Gillette,Toiletries & Cosmetics,122.5,,
10,US Army,"Non-profit, public sector & education",107.3,,
11,La Sirena,Retail,107.2,,
12,Tide,Household & Domestic,106.1,,
13,Airbnb,Transport & Tourism,105.6,,
14,Sport Chek,Retail,101.3,,
14,Canadian Safe School Network,"Non-profit, public sector & education",101.3,,
16,DB Export,Alcoholic Drinks,100.6,,
17,Google,Technology & Electronics,100.0,,
18,Yasmin,Pharma & Healthcare,96.7,,
19,20th Century Fox,Media & Publishing,95.3,,
20,Coca-Cola,Soft Drinks,93.1,,
21,adidas,Clothing & Accessories,89.7,,
22,Cornetto,Food,89.6,,
23,Addict'Aide,"Non-profit, public sector & education",87.2,,
24,Pedigree,Household & Domestic,83.4,,
25,Always,Toiletries & Cosmetics,82.0,,
26,Marriott,Transport & Tourism,81.5,,
27,The Lego Batman Movie,Media & Publishing,80.9,,
28,Vodafone,Telecoms & Utilities,79.0,,
29,Campbell's Soup,Food,78.7,,
30,Excedrin,Pharma & Healthcare,78.4,,
30,Burger King,Retail,78.4,,
32,Age UK,"Non-profit, public sector & education",76.5,,
33,BMW,Automotive,75.6,,
34,Maggi,Food,75.2,,
35,Oreo,Food,73.5,,
36,Mountain Dew,Soft Drinks,73.1,,
37,Budweiser,Alcoholic Drinks,71.7,,
38,The Handmaid's Tale,Media & Publishing,71.3,,
39,M&M's,Food,68.7,,
40,Huawei,Telecoms & Utilities,68.5,,
41,Whirlpool,Technology & Electronics,68.0,,
42,Tata Tiago,Automotive,66.6,,
43,Sing (Universal Pictures),Media & Publishing,65.7,,
44,Axe,Toiletries & Cosmetics,64.2,,
45,Lipton,Soft Drinks,63.4,,
45,Du,Telecoms & Utilities,63.4,,
47,Pizza Hut,Retail,63.3,,
48,Paytm,Financial Services,62.9,,
48,Canal+,Media & Publishing,62.9,,
50,Orange,Telecoms & Utilities,62.8,,
51,Brooke Bond Red Label,Soft Drinks,62.7,,
52,Deutsche Telekom,Telecoms & Utilities,62.5,,
53,LEGO,Leisure & Entertainment,61.4,,
54,Knorr,Food,58.7,,
55,Gatorade,Soft Drinks,58.4,,
56,Vaseline,Toiletries & Cosmetics,57.0,,
57,Sberbank,Financial Services,56.6,,
58,Alcoholics Anonymous,"Non-profit, public sector & education",55.9,,
58,NHS Blood & Transplant,"Non-profit, public sector & education",55.9,,
60,Stylight & Shazam,Retail,55.7,,
61,Infiniti,Automotive,54.4,,
62,MailChimp,Media & Publishing,54.2,,
63,University Of Melbourne,"Non-profit, public sector & education",53.5,,
64,AAMI Insurance,Financial Services,52.8,,
65,Parisian Road Safety,"Non-profit, public sector & education",52.6,,
66,Chevrolet,Automotive,52.5,,
67,Marks & Spencer,Retail,52.3,,
68,Mordisko,Food,52.2,,
69,Volkswagen,Automotive,52.1,,
70,Maybelline,Toiletries & Cosmetics,51.1,,
71,Expedia,Transport & Tourism,50.8,,
72,CoverGirl,Toiletries & Cosmetics,50.7,,
73,IKEA,Retail,50.5,,
74,Doritos,Food,50.1,,
75,Territorio de Zaguates,"Non-profit, public sector & education",50.0,,
76,Go Sport,Retail,49.2,,
77,Heineken,Alcoholic Drinks,48.0,,
78,AP (Thailand),Business & Industrial,47.9,,
79,Nissan,Automotive,47.5,,
80,Plan.net,Business & Industrial,47.1,,
80,MasterCard,Financial Services,47.1,,
82,Nescafé,Soft Drinks,46.0,,
83,State Street Global Advisors,Financial Services,45.7,,
83,Jet.com,Transport & Tourism,45.7,,
85,Channel 4,Media & Publishing,45.4,,
85,Door Step School,"Non-profit, public sector & education",45.4,,
87,L'Oreal Men Expert,Toiletries & Cosmetics,44.9,,
88,Aveeno,Toiletries & Cosmetics,43.3,,
89,Dunkin' Donuts,Retail,41.8,,
90,Narellan Pools,Retail,41.4,,
90,Aviva,Financial Services,41.4,,
92,Game of Bros,Media & Publishing,41.2,,
93,Cancer Research UK,"Non-profit, public sector & education",39.6,,
94,SAP,Technology & Electronics,39.4,,
95,Suzuki Vitara,Automotive,38.8,,
96,Alliance de l'industrie Touristique de Quebec,Transport & Tourism,38.6,,
96,Hyundai,Automotive,38.6,,
98,Sun & Sand Sports,Retail,38.0,,
98,Under Armour,Clothing & Accessories,38.0,,
100,Gucci Guilty,Toiletries & Cosmetics,37.1,,
100,HomeAway,Transport & Tourism,37.1,,
100,Telekom Electronic Beats,Telecoms & Utilities,37.1,,
100,GoPro,Technology & Electronics,37.1,,
104,Kraft Foods,Food,36.6,,
105,Emirates NBD,Financial Services,35.6,,
106,Ariel,Household & Domestic,35.4,,
106,Transport for NSW,Transport & Tourism,35.4,,
106,Maritime Safety,"Non-profit, public sector & education",35.4,,
106,Maxis,Telecoms & Utilities,35.4,,
110,Kobe Shimbun,Media & Publishing,35.2,,
111,Macy's,Retail,34.3,,
112,SickKids Foundation,Pharma & Healthcare,34.1,,
113,Destination Canada,Transport & Tourism,33.5,,
113,VistSweden,Transport & Tourism,33.5,,
115,Old Spice,Toiletries & Cosmetics,33.1,,
115,Star India,Media & Publishing,33.1,,
117,Amnesty International,"Non-profit, public sector & education",32.2,,
117,Cristal,Alcoholic Drinks,32.2,,
117,Victoria,Alcoholic Drinks,32.2,,
120,Cadbury Dairy Milk,Food,31.9,,
121,Fanta,Soft Drinks,31.7,,
121,Johnson's Baby Wipes,Toiletries & Cosmetics,31.7,,
123,Lifebuoy,Toiletries & Cosmetics,31.6,,
124,VIA Rail Canada,Transport & Tourism,31.4,,
124,Cheapflights,Transport & Tourism,31.4,,
126,Paul,Retail,30.0,,
126,Cisco,Technology & Electronics,30.0,,
126,Head & Shoulders,Toiletries & Cosmetics,30.0,,
126,City Gross,Retail,30.0,,
126,Lockheed Martin,Business & Industrial,30.0,,
131,Mobily,Telecoms & Utilities,29.8,,
132,LATAM Airlines,Transport & Tourism,28.7,,
133,SAP Ariba,Technology & Electronics,28.6,,
133,Ubrew,Alcoholic Drinks,28.6,,
133,Jaguar,Automotive,28.6,,
