,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
The top Brands in 2019,,,,,
,,,,,
Rank,Brand,Product Category,Points,,
1,Coca-Cola,Soft Drinks,147.1,,
2,McDonald's,Retail,115.4,,
3,Burger King,Retail,96.6,,
4,IKEA,Retail,78.0,,
5,Carvaan,Media & Publishing,75.2,,
6,Pedigree,Household & Domestic,72.9,,
7,Savlon,Toiletries & Cosmetics,72.8,,
8,Nissan,Automotive,70.7,,
9,Harpic,Household & Domestic,70.2,,
10,Vodafone,Telecoms & Utilities,67.2,,
11,Aldi,Retail,66.5,,
12,Snickers,Food,64.5,,
13,Mastercard,Financial Services,60.5,,
14,True Match,Toiletries & Cosmetics,58.9,,
15,Heineken,Alcoholic Drinks,53.8,,
16,University of Melbourne,"Non-profit, public sector & education",53.1,,
17,Audi,Automotive,52.9,,
18,OMO,Household & Domestic,52.4,,
19,adidas Originals,Clothing & Accessories,52.0,,
20,Lidl,Retail,51.2,,
21,State Street Global Advisors,Financial Services,50.1,,
22,Paytm,Financial Services,49.5,,
23,Greenpeace,"Non-profit, public sector & education",49.1,,
24,Kotex,Toiletries & Cosmetics,48.5,,
25,Cochlear,Pharma & Healthcare,45.9,,
26,Santander Bank,Financial Services,42.4,,
27,Visit Flanders,Transport & Tourism,39.8,,
28,Direct Line,Financial Services,39.4,,
29,Indian Association of Palliative Care,"Non-profit, public sector & education",38.0,,
30,David Sheldrick Wildlife Trust,"Non-profit, public sector & education",37.9,,
31,Movistar,Telecoms & Utilities,36.8,,
32,Colorista,Toiletries & Cosmetics,36.7,,
32,Guinness,Alcoholic Drinks,36.7,,
34,Narayana Health,Pharma & Healthcare,36.6,,
35,Entel,Telecoms & Utilities,35.1,,
36,AA,Financial Services,34.2,,
37,Chevrolet,Automotive,33.9,,
38,John Lewis & Partners,Retail,33.8,,
39,Meat & Livestock Australia,Food,32.9,,
40,Tecate,Alcoholic Drinks,32.3,,
41,KFC,Retail,32.2,,
42,Surf Excel,Household & Domestic,32.0,,
43,Grads of Life,"Non-profit, public sector & education",31.1,,
44,Jollibee,Retail,30.4,,
45,The New York Times,Media & Publishing,30.1,,
46,Cheetos,Food,30.0,,
47,Swann Insurance,Financial Services,29.9,,
48,Prospan,Pharma & Healthcare,29.6,,
48,Ella's Kitchen,Food,29.6,,
48,DFS,Retail,29.6,,
48,British Army,"Non-profit, public sector & education",29.6,,
48,Suzuki,Automotive,29.6,,
53,HP,Technology & Electronics,29.3,,
54,Apple,Technology & Electronics,29.1,,
55,Airbnb,Transport & Tourism,28.8,,
56,Vicks,Pharma & Healthcare,28.6,,
57,Uniqlo,Retail,28.3,,
58,Velocity Frequent Flyer,Transport & Tourism,27.8,,
59,IBM Watson,Technology & Electronics,26.6,,
59,2degress Mobile,Telecoms & Utilities,26.6,,
59,Mudah.my,Retail,26.6,,
59,DB Export,Alcoholic Drinks,26.6,,
59,Clear,Toiletries & Cosmetics,26.6,,
64,Boost Mobile,Telecoms & Utilities,26.1,,
65,Newsan,Business & Industrial,25.8,,
65,Soothers,Pharma & Healthcare,25.8,,
67,Samsung Galaxy,Technology & Electronics,25.7,,
68,Avianca,Transport & Tourism,25.6,,
69,Volkswagen,Automotive,25.3,,
70,Puck,Food,25.2,,
71,Procter & Gamble,Toiletries & Cosmetics,24.2,,
72,Baileys,Alcoholic Drinks,23.8,,
73,Visa,Financial Services,23.6,,
74,Connect,Telecoms & Utilities,22.8,,
75,MiBanco,Financial Services,22.7,,
75,Durex,Pharma & Healthcare,22.7,,
77,Saudi Telecom Company,Telecoms & Utilities,22.6,,
78,Free Democratic Party,"Non-profit, public sector & education",22.5,,
79,UNICEF,"Non-profit, public sector & education",22.1,,
80,Yorkshire Tea,Soft Drinks,22.0,,
80,The Roadster Life Co.,Clothing & Accessories,22.0,,
82,Orange,Telecoms & Utilities,21.6,,
83,Bodyform/Libresse,Toiletries & Cosmetics,21.4,,
84,Cathay Pacific,Transport & Tourism,21.2,,
84,Parodontax,Toiletries & Cosmetics,21.2,,
84,Art Fund,"Non-profit, public sector & education",21.2,,
84,Mr. Clean,Household & Domestic,21.2,,
88,Pepsi,Soft Drinks,20.5,,
89,Mobil Delvac,Business & Industrial,20.2,,
89,Polla Chilena de Beneficencia,Leisure & Entertainment,20.2,,
89,Lotto,Leisure & Entertainment,20.2,,
92,Koskenkorva,Alcoholic Drinks,20.1,,
92,US Army,"Non-profit, public sector & education",20.1,,
92,Sandy Hook Promise,"Non-profit, public sector & education",20.1,,
92,Off The Street Club,"Non-profit, public sector & education",20.1,,
92,DUO,Pharma & Healthcare,20.1,,
97,Ožujsko,Alcoholic Drinks,20.0,,
97,SickKids Foundation,"Non-profit, public sector & education",20.0,,
97,Saltwater Brewery,Alcoholic Drinks,20.0,,
97,Tencent QQ,Telecoms & Utilities,20.0,,
101,Amazon,Retail,19.8,,
102,Dove,Toiletries & Cosmetics,19.7,,
102,Skittles,Food,19.7,,
102,SK-II,Toiletries & Cosmetics,19.7,,
