Rank,Brand,Product Category,Points,,
1,Burger King,Retail,490.7,,
2,Nike,Clothing & Accessories,338.1,,
3,Xbox,Technology & Electronics,257.8,,
4,IKEA,Retail,211.1,,
5,Bodyform/Libresse,Toiletries & Cosmetics,200.0,,
6,The New York Times,Media & Publishing,198.8,,
7,Apple,Technology & Electronics,198.0,,
8,Volkswagen,Automotive,179.7,,
9,Diesel,Clothing & Accessories,146.3,,
10,KFC,Retail,146.2,,
11,McDonald's,Retail,129.5,,
12,Huawei,Technology & Electronics,120.7,,
13,adidas,Clothing & Accessories,115.0,,
14,Wendy's,Retail,114.1,,
14,Skittles,Food,114.1,,
16,Volvo,Automotive,107.0,,
17,March For Our Lives,"Non-profit, public sector & education",106.1,,
18,Uber,Transport & Tourism,96.8,,
19,Budweiser,Alcoholic Drinks,95.5,,
20,Coca-Cola,Soft Drinks,94.5,,
21,NRMA Insurance,Financial Services,87.7,,
22,Reporters Without Borders,"Non-profit, public sector & education",87.1,,
23,Gazeta.pl,Media & Publishing,85.3,,
24,Ruavieja,Alcoholic Drinks,84.9,,
25,Old Spice,Toiletries & Cosmetics,79.3,,
26,Tourism Australia,Transport & Tourism,77.8,,
27,Spotify,Media & Publishing,76.2,,
28,Aeroméxico,Transport & Tourism,75.7,,
29,Carlings,Retail,73.2,,
30,The ALS Association,"Non-profit, public sector & education",72.5,,
31,Deutsche Bahn,Transport & Tourism,67.3,,
32,Getty Images,Business & Industrial,66.8,,
33,Doconomy,Financial Services,66.5,,
34,Myer,Retail,65.5,,
35,Mercedes-Benz,Automotive,62.0,,
36,Assassin’s Creed Odyssey,Technology & Electronics,61.3,,
37,K Plus,Financial Services,60.1,,
38,Berger Paints,Household & Domestic,59.0,,
39,Amnesty International,"Non-profit, public sector & education",58.7,,
40,An-Nahar,Media & Publishing,58.5,,
41,Snickers,Food,58.0,,
42,John Lewis & Partners,Retail,57.8,,
43,The Big Issue,Media & Publishing,57.6,,
44,Street Grace,"Non-profit, public sector & education",56.9,,
45,Black & Abroad,Transport & Tourism,56.5,,
46,Wavio,Technology & Electronics,55.6,,
47,UN Women,"Non-profit, public sector & education",55.3,,
47,Vicks,Pharma & Healthcare,55.3,,
49,Amazon Prime,Retail,53.7,,
50,The Cybersmile Foundation,"Non-profit, public sector & education",52.2,,
51,L'Oréal,Toiletries & Cosmetics,51.3,,
52,28 Too Many,"Non-profit, public sector & education",49.5,,
53,Monica Lewinsky,"Non-profit, public sector & education",48.9,,
54,Vive Digital Program,Technology & Electronics,48.2,,
54,The Female Company,Toiletries & Cosmetics,48.2,,
